Paper_ID,DOI,Publication_Year,First_Author,Source_Title,Dopant,Bandgap,Doping_Conc_wt_pct,Calcination_Annealing_Temp_C,H2_Rate_umol_h_g,Reaction_Type,Synthesis_Group,Reaction_Temp_C,Avg_Wavelength_nm,pH,Radius_Mismatch,Electronegativity_Mismatch,Charge_Mismatch,Atomic_Weight,Is_Baseline_Row,b1,b2,baseline,EF,lnRR
15,10.1007/s42452-019-0331-9,2019,I. Ahmad,The excellent photocatalytic performances of silver doped ZnO nanoparticles for hydrogen evolution,Ag,3.32,1.32,700,256.0,Photocatalytic_H2,Combustion Method,25,550,7,0.4,0.28,-1,107.87,False,15.0,15.0,15.0,17.066666666666666,2.8371272433773522
15,10.1007/s42452-019-0331-9,2019,I. Ahmad,The excellent photocatalytic performances of silver doped ZnO nanoparticles for hydrogen evolution,Ag,3.31,2.63,700,478.0,Photocatalytic_H2,Combustion Method,25,550,7,0.4,0.28,-1,107.87,False,15.0,15.0,15.0,31.866666666666667,3.461560531389246
15,10.1007/s42452-019-0331-9,2019,I. Ahmad,The excellent photocatalytic performances of silver doped ZnO nanoparticles for hydrogen evolution,Ag,3.3,5.23,700,696.0,Photocatalytic_H2,Combustion Method,25,550,7,0.4,0.28,-1,107.87,False,15.0,15.0,15.0,46.4,3.8372994592322094
15,10.1007/s42452-019-0331-9,2019,I. Ahmad,The excellent photocatalytic performances of silver doped ZnO nanoparticles for hydrogen evolution,Ag,3.27,7.801,700,805.0,Photocatalytic_H2,Combustion Method,25,550,7,0.4,0.28,-1,107.87,False,15.0,15.0,15.0,53.666666666666664,3.982792076316353
15,10.1007/s42452-019-0331-9,2019,I. Ahmad,The excellent photocatalytic performances of silver doped ZnO nanoparticles for hydrogen evolution,Ag,3.29,10.33,700,713.0,Photocatalytic_H2,Combustion Method,25,550,7,0.4,0.28,-1,107.87,False,15.0,15.0,15.0,47.53333333333333,3.861431219312086
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.12,0.86,600,17.0,Photocatalytic_H2,Mechanochemical Method,27,420,7,0.27,0.53,1,140.12,False,1.2,1.2,1.2,14.166666666666668,2.6508917872622617
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.09,1.7,600,29.0,Photocatalytic_H2,Mechanochemical Method,27,420,7,0.27,0.53,1,140.12,False,1.2,1.2,1.2,24.166666666666668,3.1849742731925192
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.05,3.3,600,43.0,Photocatalytic_H2,Mechanochemical Method,27,420,7,0.27,0.53,1,140.12,False,1.2,1.2,1.2,35.833333333333336,3.578878558899608
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.01,5.0,600,38.0,Photocatalytic_H2,Mechanochemical Method,27,420,7,0.27,0.53,1,140.12,False,1.2,1.2,1.2,31.666666666666668,3.455264602932431
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.05,3.3,500,17.0,Photocatalytic_H2,Mechanochemical Method,27,420,7,0.27,0.53,1,140.12,False,1.2,1.2,1.2,14.166666666666668,2.6508917872622617
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.05,3.3,700,14.0,Photocatalytic_H2,Mechanochemical Method,27,420,7,0.27,0.53,1,140.12,False,1.2,1.2,1.2,11.666666666666668,2.456735772821304
23,10.1016/j.jpowsour.2015.08.027,2015,P. P. Patel,Nitrogen and cobalt co-doped zinc oxide nanowires - Viable photoanodes for hydrogen generation via photoelectrochemical water splitting,Co,2.98,3.6,400,2418.0,PEC Water Splitting,Hydrothermal Method,25,550,7,0.02,0.23,0,58.93,False,595.0,595.0,595.0,4.063865546218487,1.402134625629108
23,10.1016/j.jpowsour.2015.08.027,2015,P. P. Patel,Nitrogen and cobalt co-doped zinc oxide nanowires - Viable photoanodes for hydrogen generation via photoelectrochemical water splitting,Co,2.92,7.3,400,1395.0,PEC Water Splitting,Hydrothermal Method,25,550,7,0.02,0.23,0,58.93,False,595.0,595.0,595.0,2.3445378151260505,0.8520882887098363
34,10.1016/j.ijhydene.2021.05.164,2021,I. Ahmad,Boosted hydrogen evolution activity from Sr doped ZnO/CNTs nanocomposite as visible light driven photocatalyst,Sr,3.22,1.0,640,196.0,Photoreforming,Sol-Gel/Wet Chemistry,7,610,9,0.44,0.7,0,87.62,False,81.0,81.0,81.0,2.419753086419753,0.8836655045580785
34,10.1016/j.ijhydene.2021.05.164,2021,I. Ahmad,Boosted hydrogen evolution activity from Sr doped ZnO/CNTs nanocomposite as visible light driven photocatalyst,Sr,3.21,3.0,640,312.0,Photoreforming,Sol-Gel/Wet Chemistry,7,610,9,0.44,0.7,0,87.62,False,81.0,81.0,81.0,3.8518518518518516,1.3485540331370436
34,10.1016/j.ijhydene.2021.05.164,2021,I. Ahmad,Boosted hydrogen evolution activity from Sr doped ZnO/CNTs nanocomposite as visible light driven photocatalyst,Sr,3.2,5.0,640,445.0,Photoreforming,Sol-Gel/Wet Chemistry,7,610,9,0.44,0.7,0,87.62,False,81.0,81.0,81.0,5.493827160493828,1.7036251274938015
49,10.1016/j.mssp.2019.104748,2020,I. Ahmad,The investigation of hydrogen evolution using Ca doped ZnO catalysts under visible light illumination,Ca,3.2,0.247,700,174.72,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,560,7,0.25,0.65,0,40.07,False,34.74,34.74,34.74,5.029360967184801,1.6152929317435814
49,10.1016/j.mssp.2019.104748,2020,I. Ahmad,The investigation of hydrogen evolution using Ca doped ZnO catalysts under visible light illumination,Ca,3.15,0.495,700,222.42,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,560,7,0.25,0.65,0,40.07,False,34.74,34.74,34.74,6.402417962003454,1.8566757255777369
49,10.1016/j.mssp.2019.104748,2020,I. Ahmad,The investigation of hydrogen evolution using Ca doped ZnO catalysts under visible light illumination,Ca,3.11,0.744,700,627.38,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,560,7,0.25,0.65,0,40.07,False,34.74,34.74,34.74,18.05929763960852,2.8936606568454635
49,10.1016/j.mssp.2019.104748,2020,I. Ahmad,The investigation of hydrogen evolution using Ca doped ZnO catalysts under visible light illumination,Ca,3.05,1.05,700,1639.5,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,560,7,0.25,0.65,0,40.07,False,34.74,34.74,34.74,47.19343696027634,3.854254835471744
49,10.1016/j.mssp.2019.104748,2020,I. Ahmad,The investigation of hydrogen evolution using Ca doped ZnO catalysts under visible light illumination,Ca,3.09,2.527,700,1372.86,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,560,7,0.25,0.65,0,40.07,False,34.74,34.74,34.74,39.5181347150259,3.676759673259353
49,10.1016/j.mssp.2019.104748,2020,I. Ahmad,The investigation of hydrogen evolution using Ca doped ZnO catalysts under visible light illumination,Eu,3.13,15.47,200,168.7,Photocatalytic_H2,Hydrothermal Method,25,420,7,0.21,0.45,1,151.96,False,,34.74,34.74,4.856073690270581,1.5802302287389636
