Paper_ID,DOI,Publication_Year,First_Author,Source_Title,Dopant,Bandgap,Doping_Conc_wt_pct,Calcination_Annealing_Temp_C,H2_Rate_umol_h_g,Reaction_Type,Synthesis_Group,Reaction_Temp_C,Avg_Wavelength_nm,pH,Radius_Mismatch,Electronegativity_Mismatch,Charge_Mismatch,Atomic_Weight,Is_Baseline_Row
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.3,0.0,450,1570.6,H2S splitting,Aqueous/Water-Based,25,375,12,0.03,0.25,0,63.55,True
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.3,0.0,450,1365.2,H2S splitting,Aqueous/Water-Based,25,560,12,0.03,0.25,0,63.55,True
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.1,1.0,450,2944.6,H2S splitting,Alcohol-Based Solvent,25,560,12,0.03,0.25,0,63.55,False
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.1,1.5,450,3212.2,H2S splitting,Alcohol-Based Solvent,25,560,12,0.03,0.25,0,63.55,False
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.3,0.0,450,2257.4,H2S splitting,Aqueous/Water-Based,25,375,12,0.03,0.25,0,63.55,True
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.3,0.0,450,1570.4,H2S splitting,Alcohol-Based Solvent,25,560,12,0.03,0.25,0,63.55,True
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.1,1.0,450,3479.8,H2S splitting,Alcohol-Based Solvent,25,560,12,0.03,0.25,0,63.55,False
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.1,1.5,450,3506.8,H2S splitting,Aqueous/Water-Based,25,560,12,0.03,0.25,0,63.55,False
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.26,0.0,450,1766.0,H2S splitting,Alcohol-Based Solvent,25,375,12,0.03,0.25,0,63.55,True
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.26,0.0,450,1722.0,H2S splitting,Alcohol-Based Solvent,25,560,12,0.03,0.25,0,63.55,True
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.1,1.5,450,3863.6,H2S splitting,Alcohol-Based Solvent,25,560,12,0.03,0.25,0,63.55,False
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.1,1.0,450,3417.4,H2S splitting,Alcohol-Based Solvent,25,560,12,0.03,0.25,0,63.55,False
5,10.3390/app9132741,2019,V. Vaiano,Photocatalytic Hydrogen Production from Glycerol Aqueous Solution Using Cu-Doped ZnO under Visible Light Irradiation,Cu,3.19,0.0,600,102.0,Photoreforming,Precipitation Method,25,560,6,0.03,0.25,0,63.55,True
5,10.3390/app9132741,2019,V. Vaiano,Photocatalytic Hydrogen Production from Glycerol Aqueous Solution Using Cu-Doped ZnO under Visible Light Irradiation,Cu,2.92,0.84,600,696.7,Photoreforming,Precipitation Method,25,560,6,0.03,0.25,0,63.55,False
5,10.3390/app9132741,2019,V. Vaiano,Photocatalytic Hydrogen Production from Glycerol Aqueous Solution Using Cu-Doped ZnO under Visible Light Irradiation,Cu,3.02,0.42,600,350.0,Photoreforming,Precipitation Method,25,560,6,0.03,0.25,0,63.55,False
5,10.3390/app9132741,2019,V. Vaiano,Photocatalytic Hydrogen Production from Glycerol Aqueous Solution Using Cu-Doped ZnO under Visible Light Irradiation,Cu,2.94,1.7,600,333.33,Photoreforming,Precipitation Method,25,560,6,0.03,0.25,0,63.55,False
5,10.3390/app9132741,2019,V. Vaiano,Photocatalytic Hydrogen Production from Glycerol Aqueous Solution Using Cu-Doped ZnO under Visible Light Irradiation,Cu,2.91,3.4,600,133.33,Photoreforming,Precipitation Method,25,560,6,0.03,0.25,0,63.55,False
7,10.1016/j.ijhydene.2017.08.135,2017,N. S. Gultom,"Enhanced photocatalytic hydrogen production of noble-metal free Ni-doped Zn(O,S) in ethanol solution",Ni,3.24,0.0,500,145.2,Photoreforming,Sol-Gel/Wet Chemistry,25,365,8,0.05,0.26,0,58.69,True
7,10.1016/j.ijhydene.2017.08.135,2017,N. S. Gultom,"Enhanced photocatalytic hydrogen production of noble-metal free Ni-doped Zn(O,S) in ethanol solution",Ni,3.21,0.89,500,240.5,Photoreforming,Sol-Gel/Wet Chemistry,25,365,9,0.05,0.26,0,58.69,False
7,10.1016/j.ijhydene.2017.08.135,2017,N. S. Gultom,"Enhanced photocatalytic hydrogen production of noble-metal free Ni-doped Zn(O,S) in ethanol solution",Ni,3.14,2.68,500,445.8,Photoreforming,Sol-Gel/Wet Chemistry,25,365,10,0.05,0.26,0,58.69,False
7,10.1016/j.ijhydene.2017.08.135,2017,N. S. Gultom,"Enhanced photocatalytic hydrogen production of noble-metal free Ni-doped Zn(O,S) in ethanol solution",Ni,1.18,4.5,500,310.2,Photoreforming,Sol-Gel/Wet Chemistry,25,365,11,0.05,0.26,0,58.69,False
15,10.1007/s42452-019-0331-9,2019,I. Ahmad,The excellent photocatalytic performances of silver doped ZnO nanoparticles for hydrogen evolution,Ag,3.33,0.0,700,15.0,Photocatalytic_H2,Combustion Method,25,550,7,0.4,0.28,-1,107.87,True
15,10.1007/s42452-019-0331-9,2019,I. Ahmad,The excellent photocatalytic performances of silver doped ZnO nanoparticles for hydrogen evolution,Ag,3.32,1.32,700,256.0,Photocatalytic_H2,Combustion Method,25,550,7,0.4,0.28,-1,107.87,False
15,10.1007/s42452-019-0331-9,2019,I. Ahmad,The excellent photocatalytic performances of silver doped ZnO nanoparticles for hydrogen evolution,Ag,3.31,2.63,700,478.0,Photocatalytic_H2,Combustion Method,25,550,7,0.4,0.28,-1,107.87,False
15,10.1007/s42452-019-0331-9,2019,I. Ahmad,The excellent photocatalytic performances of silver doped ZnO nanoparticles for hydrogen evolution,Ag,3.3,5.23,700,696.0,Photocatalytic_H2,Combustion Method,25,550,7,0.4,0.28,-1,107.87,False
15,10.1007/s42452-019-0331-9,2019,I. Ahmad,The excellent photocatalytic performances of silver doped ZnO nanoparticles for hydrogen evolution,Ag,3.27,7.801,700,805.0,Photocatalytic_H2,Combustion Method,25,550,7,0.4,0.28,-1,107.87,False
15,10.1007/s42452-019-0331-9,2019,I. Ahmad,The excellent photocatalytic performances of silver doped ZnO nanoparticles for hydrogen evolution,Ag,3.29,10.33,700,713.0,Photocatalytic_H2,Combustion Method,25,550,7,0.4,0.28,-1,107.87,False
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.18,0.0,600,1.2,Photocatalytic_H2,Mechanochemical Method,27,420,7,0.27,0.53,1,140.12,True
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.12,0.86,600,17.0,Photocatalytic_H2,Mechanochemical Method,27,420,7,0.27,0.53,1,140.12,False
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.09,1.7,600,29.0,Photocatalytic_H2,Mechanochemical Method,27,420,7,0.27,0.53,1,140.12,False
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.05,3.3,600,43.0,Photocatalytic_H2,Mechanochemical Method,27,420,7,0.27,0.53,1,140.12,False
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.01,5.0,600,38.0,Photocatalytic_H2,Mechanochemical Method,27,420,7,0.27,0.53,1,140.12,False
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.05,3.3,500,17.0,Photocatalytic_H2,Mechanochemical Method,27,420,7,0.27,0.53,1,140.12,False
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.05,3.3,700,14.0,Photocatalytic_H2,Mechanochemical Method,27,420,7,0.27,0.53,1,140.12,False
23,10.1016/j.jpowsour.2015.08.027,2015,P. P. Patel,Nitrogen and cobalt co-doped zinc oxide nanowires - Viable photoanodes for hydrogen generation via photoelectrochemical water splitting,Co,3.18,0.0,400,595.0,PEC Water Splitting,Hydrothermal Method,25,550,7,0.02,0.23,0,58.93,True
23,10.1016/j.jpowsour.2015.08.027,2015,P. P. Patel,Nitrogen and cobalt co-doped zinc oxide nanowires - Viable photoanodes for hydrogen generation via photoelectrochemical water splitting,Co,2.98,3.6,400,2418.0,PEC Water Splitting,Hydrothermal Method,25,550,7,0.02,0.23,0,58.93,False
23,10.1016/j.jpowsour.2015.08.027,2015,P. P. Patel,Nitrogen and cobalt co-doped zinc oxide nanowires - Viable photoanodes for hydrogen generation via photoelectrochemical water splitting,Co,2.92,7.3,400,1395.0,PEC Water Splitting,Hydrothermal Method,25,550,7,0.02,0.23,0,58.93,False
34,10.1016/j.ijhydene.2021.05.164,2021,I. Ahmad,Boosted hydrogen evolution activity from Sr doped ZnO/CNTs nanocomposite as visible light driven photocatalyst,Sr,3.23,0.0,640,81.0,Photoreforming,Sol-Gel/Wet Chemistry,7,610,9,0.44,0.7,0,87.62,True
34,10.1016/j.ijhydene.2021.05.164,2021,I. Ahmad,Boosted hydrogen evolution activity from Sr doped ZnO/CNTs nanocomposite as visible light driven photocatalyst,Sr,3.22,1.0,640,196.0,Photoreforming,Sol-Gel/Wet Chemistry,7,610,9,0.44,0.7,0,87.62,False
34,10.1016/j.ijhydene.2021.05.164,2021,I. Ahmad,Boosted hydrogen evolution activity from Sr doped ZnO/CNTs nanocomposite as visible light driven photocatalyst,Sr,3.21,3.0,640,312.0,Photoreforming,Sol-Gel/Wet Chemistry,7,610,9,0.44,0.7,0,87.62,False
34,10.1016/j.ijhydene.2021.05.164,2021,I. Ahmad,Boosted hydrogen evolution activity from Sr doped ZnO/CNTs nanocomposite as visible light driven photocatalyst,Sr,3.2,5.0,640,445.0,Photoreforming,Sol-Gel/Wet Chemistry,7,610,9,0.44,0.7,0,87.62,False
41,10.1016/j.jcis.2020.09.132,2021,I. Ahmad,Lu modified ZnO/CNTs composite: A promising photocatalyst for hydrogen evolution under visible light illumination,Lu,2.62,5.0,500,122.6,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,420,9,0.12,0.38,1,174.97,False
49,10.1016/j.mssp.2019.104748,2020,I. Ahmad,The investigation of hydrogen evolution using Ca doped ZnO catalysts under visible light illumination,Ca,3.25,0.0,700,34.74,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,560,7,0.25,0.65,0,40.07,True
49,10.1016/j.mssp.2019.104748,2020,I. Ahmad,The investigation of hydrogen evolution using Ca doped ZnO catalysts under visible light illumination,Ca,3.2,0.247,700,174.72,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,560,7,0.25,0.65,0,40.07,False
49,10.1016/j.mssp.2019.104748,2020,I. Ahmad,The investigation of hydrogen evolution using Ca doped ZnO catalysts under visible light illumination,Ca,3.15,0.495,700,222.42,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,560,7,0.25,0.65,0,40.07,False
49,10.1016/j.mssp.2019.104748,2020,I. Ahmad,The investigation of hydrogen evolution using Ca doped ZnO catalysts under visible light illumination,Ca,3.11,0.744,700,627.38,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,560,7,0.25,0.65,0,40.07,False
49,10.1016/j.mssp.2019.104748,2020,I. Ahmad,The investigation of hydrogen evolution using Ca doped ZnO catalysts under visible light illumination,Ca,3.05,1.05,700,1639.5,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,560,7,0.25,0.65,0,40.07,False
49,10.1016/j.mssp.2019.104748,2020,I. Ahmad,The investigation of hydrogen evolution using Ca doped ZnO catalysts under visible light illumination,Ca,3.09,2.527,700,1372.86,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,560,7,0.25,0.65,0,40.07,False
49,10.1016/j.mssp.2019.104748,2020,I. Ahmad,The investigation of hydrogen evolution using Ca doped ZnO catalysts under visible light illumination,Eu,3.13,15.47,200,168.7,Photocatalytic_H2,Hydrothermal Method,25,420,7,0.21,0.45,1,151.96,False
